well,electrode,mean_spikes,median_spikes,std_spikes,min_spikes,max_spikes,total_spikes,frac_nonzero,n_measurements
26,1,2.341463414634146,2.0,1.995235252313908,0.0,11.0,96,0.9024390243902439,41
26,2,14.170731707317072,2.0,55.26958429593163,0.0,344.0,581,0.926829268292683,41
26,3,14.634146341463415,2.0,67.55657289519974,0.0,438.0,600,0.9512195121951219,41
26,4,2.5853658536585367,2.0,1.7246506858208477,0.0,7.0,106,0.9024390243902439,41
26,5,7.2926829268292686,2.0,32.413670634801846,0.0,212.0,299,0.8048780487804879,41
26,6,25.975609756097562,2.0,86.52942198195153,0.0,455.0,1065,0.8536585365853658,41
26,7,5.170731707317073,2.0,10.916316807208196,0.0,55.0,212,0.926829268292683,41
26,8,5.7073170731707314,2.0,14.579042597022827,0.0,77.0,234,0.8780487804878049,41
26,9,1.951219512195122,2.0,1.607167171662007,0.0,6.0,80,0.8048780487804879,41
26,10,177.3170731707317,2.0,437.1757719295128,0.0,1757.0,7270,0.8292682926829268,41
26,11,4.926829268292683,2.0,12.297908297066042,0.0,77.0,202,0.8292682926829268,41
26,12,12.902439024390244,2.0,47.72267696274156,0.0,224.0,529,0.9024390243902439,41
26,13,5.487804878048781,2.0,14.388548887357567,0.0,85.0,225,0.8536585365853658,41
26,14,2.1463414634146343,2.0,1.704527337527429,0.0,6.0,88,0.8048780487804879,41
26,15,2.4146341463414633,2.0,1.834302017264699,0.0,10.0,99,0.8780487804878049,41
26,16,3.317073170731707,2.0,6.733386146259996,0.0,44.0,136,0.8536585365853658,41
27,1,3.1219512195121952,2.0,7.16425790397677,0.0,47.0,128,0.8292682926829268,41
27,2,2.2195121951219514,2.0,2.4743779225312,0.0,14.0,91,0.7804878048780488,41
27,3,2.3658536585365852,2.0,1.7635343885390458,0.0,7.0,97,0.8536585365853658,41
27,4,21.414634146341463,2.0,58.94808613528087,0.0,322.0,878,0.975609756097561,41
27,5,2.341463414634146,2.0,2.1023767745863364,0.0,11.0,96,0.8780487804878049,41
27,6,135.5121951219512,3.0,401.73538930745286,0.0,1423.0,5556,0.8536585365853658,41
27,7,5.878048780487805,2.0,18.726784159946693,0.0,117.0,241,0.8780487804878049,41
27,8,312.4634146341463,5.0,639.8257421898778,0.0,2206.0,12811,0.9024390243902439,41
27,9,2.1951219512195124,2.0,1.7421533100905924,0.0,6.0,90,0.8048780487804879,41
27,10,278.5121951219512,4.0,535.3845721490128,0.0,1898.0,11419,0.8536585365853658,41
27,11,2.4390243902439024,2.0,3.378907172790035,0.0,22.0,100,0.8292682926829268,41
27,12,44.41463414634146,2.0,149.65602440095856,0.0,689.0,1821,0.9024390243902439,41
27,13,2.7560975609756095,2.0,2.7210156622820634,0.0,16.0,113,0.926829268292683,41
27,14,22.073170731707318,3.0,80.57155288219845,0.0,387.0,905,0.8780487804878049,41
27,15,84.09756097560975,2.0,276.98576214866273,0.0,1317.0,3448,0.8292682926829268,41
27,16,2.4634146341463414,2.0,1.4831995898059291,0.0,6.0,101,0.8780487804878049,41
28,1,2.268292682926829,2.0,1.711145533345403,0.0,8.0,93,0.926829268292683,41
28,2,3.4390243902439024,2.0,5.695735591320439,0.0,35.0,141,0.8292682926829268,41
28,3,2.0,2.0,1.4313561708410936,0.0,6.0,82,0.8536585365853658,41
28,4,3.2195121951219514,2.0,2.4545845122749514,0.0,10.0,132,0.926829268292683,41
28,5,1.951219512195122,2.0,1.3960085874394326,0.0,6.0,80,0.8536585365853658,41
28,6,486.9024390243902,5.0,879.4722864746665,0.0,3082.0,19963,0.926829268292683,41
28,7,2.5365853658536586,2.0,3.5960517710780593,0.0,23.0,104,0.8292682926829268,41
28,8,16.634146341463413,2.0,58.957924681995486,0.0,323.0,682,0.8536585365853658,41
28,9,2.2195121951219514,2.0,1.8414230329928656,0.0,9.0,91,0.8292682926829268,41
28,10,16.975609756097562,2.0,58.05946816963098,0.0,314.0,696,0.9512195121951219,41
28,11,8.536585365853659,2.0,40.743155978298745,0.0,266.0,350,0.8780487804878049,41
28,12,153.0487804878049,2.0,560.1568574404291,0.0,2658.0,6275,0.926829268292683,41
28,13,4.2682926829268295,2.0,9.725561969452139,0.0,61.0,175,0.8292682926829268,41
28,14,1.9024390243902438,2.0,1.4783787766528524,0.0,7.0,78,0.8048780487804879,41
28,15,3.4634146341463414,2.0,5.7809508922254675,0.0,36.0,142,0.8780487804878049,41
28,16,3.048780487804878,3.0,2.5940947903040645,0.0,14.0,125,0.8780487804878049,41
29,1,219.0487804878049,4.0,501.52391919319564,0.0,1924.0,8981,0.926829268292683,41
29,2,197.4878048780488,2.0,621.2831773327239,0.0,2614.0,8097,0.9024390243902439,41
29,3,1242.439024390244,877.0,1200.982241268767,0.0,3686.0,50940,0.9512195121951219,41
29,4,142.0731707317073,12.0,302.4464790584022,0.0,1394.0,5825,0.9024390243902439,41
29,5,193.70731707317074,3.0,339.4119192398378,0.0,1204.0,7942,0.8780487804878049,41
29,6,95.4390243902439,5.0,227.79687665480034,0.0,1123.0,3913,0.926829268292683,41
29,7,146.78048780487805,10.0,277.1292304160309,0.0,1454.0,6018,0.9512195121951219,41
29,8,258.8780487804878,24.0,508.32749166894035,0.0,2670.0,10614,0.9512195121951219,41
