well,electrode,mean_spikes,median_spikes,std_spikes,min_spikes,max_spikes,total_spikes,frac_nonzero,n_measurements
13,9,1.1666666666666667,0.5,1.3437096247164249,0.0,3.0,7,0.5,6
13,10,1.6666666666666667,1.5,1.699673171197595,0.0,5.0,10,0.6666666666666666,6
13,11,1.8333333333333333,2.0,0.8975274678557507,0.0,3.0,11,0.8333333333333334,6
13,12,2.0,2.5,1.5275252316519468,0.0,4.0,12,0.6666666666666666,6
13,13,1.0,0.5,1.1547005383792515,0.0,3.0,6,0.5,6
13,14,2.8333333333333335,0.5,4.6696419087073,0.0,13.0,17,0.5,6
13,15,11.5,13.5,8.421203397773187,0.0,23.0,69,0.8333333333333334,6
13,16,1.3333333333333333,1.5,0.74535599249993,0.0,2.0,8,0.8333333333333334,6
14,1,1.8333333333333333,2.0,0.6871842709362768,1.0,3.0,11,1.0,6
14,2,1.5,1.0,1.118033988749895,0.0,3.0,9,0.8333333333333334,6
14,3,0.6666666666666666,1.0,0.4714045207910317,0.0,1.0,4,0.6666666666666666,6
14,4,2.1666666666666665,2.0,1.2133516482134197,1.0,4.0,13,1.0,6
14,5,1.3333333333333333,1.0,0.74535599249993,1.0,3.0,8,1.0,6
14,6,1.0,1.0,0.5773502691896257,0.0,2.0,6,0.8333333333333334,6
14,7,1.6666666666666667,2.0,1.3743685418725535,0.0,4.0,10,0.6666666666666666,6
14,8,1.1666666666666667,0.5,1.4624940645653537,0.0,4.0,7,0.5,6
14,9,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
14,10,171.83333333333334,73.5,228.79205745732423,3.0,654.0,1031,1.0,6
14,11,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
14,12,1.1666666666666667,1.0,1.2133516482134197,0.0,3.0,7,0.5,6
14,13,1.0,1.0,0.5773502691896257,0.0,2.0,6,0.8333333333333334,6
14,14,0.5,0.5,0.5,0.0,1.0,3,0.5,6
14,15,2.1666666666666665,1.5,1.3437096247164249,1.0,4.0,13,1.0,6
14,16,3.0,1.5,3.2145502536643185,1.0,10.0,18,1.0,6
15,1,12.333333333333334,1.5,24.917642121374342,0.0,68.0,74,0.6666666666666666,6
15,2,2.3333333333333335,2.5,1.4907119849998596,0.0,4.0,14,0.8333333333333334,6
15,3,2.1666666666666665,2.0,2.3392781412697,0.0,7.0,13,0.6666666666666666,6
15,4,2.3333333333333335,2.5,1.1055415967851334,1.0,4.0,14,1.0,6
15,5,1.0,1.0,0.5773502691896257,0.0,2.0,6,0.8333333333333334,6
15,6,5.0,2.5,6.377042156569663,0.0,19.0,30,0.8333333333333334,6
15,7,1.6666666666666667,2.0,1.247219128924647,0.0,3.0,10,0.6666666666666666,6
15,8,0.6666666666666666,0.0,0.9428090415820634,0.0,2.0,4,0.3333333333333333,6
15,9,1.6666666666666667,1.5,1.4907119849998596,0.0,4.0,10,0.6666666666666666,6
15,10,2.8333333333333335,3.0,1.2133516482134197,1.0,5.0,17,1.0,6
15,11,0.8333333333333334,1.0,0.6871842709362768,0.0,2.0,5,0.6666666666666666,6
15,12,1.5,1.0,1.118033988749895,0.0,3.0,9,0.8333333333333334,6
15,13,1.1666666666666667,1.0,0.6871842709362768,0.0,2.0,7,0.8333333333333334,6
15,14,1.0,1.0,0.5773502691896257,0.0,2.0,6,0.8333333333333334,6
15,15,1.8333333333333333,1.5,1.5723301886761007,0.0,5.0,11,0.8333333333333334,6
15,16,2.3333333333333335,1.0,2.560381915956203,1.0,8.0,14,1.0,6
16,1,23.333333333333332,24.0,13.021349989749739,3.0,45.0,140,1.0,6
16,2,4.0,1.0,6.429100507328637,0.0,18.0,24,0.5,6
16,3,83.16666666666667,2.5,148.34353897475802,1.0,408.0,499,1.0,6
16,4,2.1666666666666665,2.0,1.5723301886761005,0.0,5.0,13,0.8333333333333334,6
16,5,46.333333333333336,1.0,100.92186196371043,1.0,272.0,278,1.0,6
16,6,3.3333333333333335,3.0,2.9249881291307074,0.0,9.0,20,0.8333333333333334,6
16,7,69.5,2.5,150.04082777697542,2.0,405.0,417,1.0,6
16,8,6.666666666666667,2.5,10.044346115546242,1.0,29.0,40,1.0,6
16,9,4.333333333333333,3.0,3.4480268109295333,1.0,10.0,26,1.0,6
16,10,130.66666666666666,58.0,169.30413134028623,0.0,472.0,784,0.6666666666666666,6
16,11,1.5,1.0,0.7637626158259734,1.0,3.0,9,1.0,6
16,12,1.3333333333333333,1.0,1.3743685418725538,0.0,4.0,8,0.6666666666666666,6
16,13,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
16,14,128.83333333333334,2.0,188.0260767966921,0.0,474.0,773,0.6666666666666666,6
16,15,25.333333333333332,19.5,22.720524250602633,1.0,63.0,152,1.0,6
16,16,4.833333333333333,3.0,5.112620550059323,1.0,16.0,29,1.0,6
17,1,364.0,251.0,382.4491251569721,0.0,1104.0,2184,0.8333333333333334,6
17,2,76.33333333333333,2.5,112.29079313203832,0.0,291.0,458,0.8333333333333334,6
17,3,3.0,3.0,2.309401076758503,0.0,7.0,18,0.8333333333333334,6
17,4,58.833333333333336,61.5,49.41462896304652,1.0,140.0,353,1.0,6
17,5,7.666666666666667,3.0,8.117197107923946,1.0,24.0,46,1.0,6
17,6,12.5,3.0,20.62967118820204,0.0,58.0,75,0.8333333333333334,6
17,7,5.833333333333333,2.0,10.39898499320433,0.0,29.0,35,0.6666666666666666,6
17,8,36.666666666666664,2.5,77.5213232314539,1.0,210.0,220,1.0,6
17,9,12.333333333333334,2.0,15.712698332523567,0.0,36.0,74,0.8333333333333334,6
17,10,1.5,1.0,1.118033988749895,1.0,4.0,9,1.0,6
17,11,4.666666666666667,5.0,2.1343747458109497,2.0,7.0,28,1.0,6
17,12,2.8333333333333335,3.0,2.6718699236468995,0.0,8.0,17,0.6666666666666666,6
17,13,2.0,1.5,1.632993161855452,0.0,5.0,12,0.8333333333333334,6
17,14,2.3333333333333335,2.0,1.4907119849998598,0.0,5.0,14,0.8333333333333334,6
17,15,1.5,1.5,1.3844373104863459,0.0,4.0,9,0.6666666666666666,6
17,16,5.0,1.5,8.103497187428813,0.0,23.0,30,0.8333333333333334,6
18,1,2.3333333333333335,2.5,1.1055415967851334,1.0,4.0,14,1.0,6
18,2,0.8333333333333334,1.0,0.6871842709362768,0.0,2.0,5,0.6666666666666666,6
18,3,2.0,0.5,2.886751345948129,0.0,8.0,12,0.5,6
18,4,0.6666666666666666,0.5,0.74535599249993,0.0,2.0,4,0.5,6
18,5,2.6666666666666665,2.0,2.6246692913372702,0.0,8.0,16,0.8333333333333334,6
18,6,1.0,1.0,0.5773502691896257,0.0,2.0,6,0.8333333333333334,6
18,7,506.1666666666667,146.5,624.6530814958189,0.0,1636.0,3037,0.8333333333333334,6
18,8,1.0,0.0,1.5275252316519468,0.0,4.0,6,0.3333333333333333,6
18,9,14.833333333333334,3.5,18.756480361612503,0.0,48.0,89,0.8333333333333334,6
