id,date,well,Spikes_total,Bursts_total
12,2025-02-12,15,18.9375,0.125
12,2025-02-12,16,3.0625,0.0
12,2025-02-12,17,3.75,0.0
12,2025-02-12,18,41.9375,1.8125
12,2025-02-12,19,14.5625,0.25
12,2025-02-12,20,31.375,1.25
12,2025-02-12,21,56.125,3.9375
12,2025-02-12,22,34.5,0.625
12,2025-02-12,23,68.625,1.25
12,2025-02-12,24,26.5,0.0
12,2025-02-12,25,2.25,0.0
12,2025-02-12,26,7.0,0.125
12,2025-02-12,27,2.0,0.0
12,2025-02-12,28,22.0,0.5
12,2025-02-12,29,32.25,0.8125
12,2025-02-12,30,9.875,0.0
12,2025-02-12,31,113.8125,4.4375
12,2025-02-12,32,6.125,0.0
12,2025-02-12,33,2.3125,0.0
12,2025-02-12,34,13.875,0.375
12,2025-02-12,35,37.875,2.0625
12,2025-02-12,36,35.3125,1.6875
12,2025-02-12,37,191.3125,5.625
12,2025-02-12,38,13.8125,0.0
12,2025-02-12,39,113.5,4.1875
12,2025-02-12,40,12.0625,0.0
12,2025-02-12,41,2.0625,0.0
12,2025-02-12,42,9.625,0.0
12,2025-02-12,43,14.25,0.125
12,2025-02-12,44,57.5625,1.0625
12,2025-02-12,45,27.5625,0.25
12,2025-02-12,46,24.5625,0.0
12,2025-02-12,47,14.625,1.3125
12,2025-02-12,48,51.8125,1.6875
13,2025-02-13,1,3.4375,0.0
13,2025-02-13,2,7.875,0.0
13,2025-02-13,3,23.25,0.0
13,2025-02-13,4,3.0,0.0
13,2025-02-13,5,40.0625,3.875
13,2025-02-13,6,50.625,0.0
13,2025-02-13,7,17.9375,0.4375
13,2025-02-13,8,8.75,0.0
13,2025-02-13,9,2.3125,0.0
13,2025-02-13,10,22.25,0.9375
13,2025-02-13,11,2.0625,0.0
13,2025-02-13,12,13.1875,0.125
13,2025-02-13,13,52.5625,1.0625
13,2025-02-13,14,145.5625,2.8125
13,2025-02-13,15,37.9375,2.25
13,2025-02-13,16,3.0625,0.0
13,2025-02-13,17,27.8125,1.6875
13,2025-02-13,18,78.9375,2.75
13,2025-02-13,19,18.8125,0.0
13,2025-02-13,20,34.5625,1.375
13,2025-02-13,21,104.5,8.8125
13,2025-02-13,22,124.0,2.6875
13,2025-02-13,23,60.875,2.5625
13,2025-02-13,24,10.3125,0.0
13,2025-02-13,25,2.6875,0.0
13,2025-02-13,26,2.0,0.0
13,2025-02-13,27,2.875,0.0
13,2025-02-13,28,17.0,0.25
13,2025-02-13,29,21.0,0.1875
13,2025-02-13,30,4.375,0.0
13,2025-02-13,31,212.9375,9.625
13,2025-02-13,32,5.0625,0.0
13,2025-02-13,33,2.3125,0.0
13,2025-02-13,34,18.0625,0.125
13,2025-02-13,35,42.6875,2.75
13,2025-02-13,36,12.25,0.0
13,2025-02-13,37,148.3125,2.8125
13,2025-02-13,38,14.5625,0.0
13,2025-02-13,39,109.4375,4.5625
13,2025-02-13,40,38.0625,0.625
13,2025-02-13,41,3.125,0.0
13,2025-02-13,42,25.8125,0.1875
13,2025-02-13,43,17.4375,0.5625
13,2025-02-13,44,154.875,6.8125
13,2025-02-13,45,9.25,0.0
13,2025-02-13,46,21.25,0.0
13,2025-02-13,47,2.3125,0.0
13,2025-02-13,48,15.75,0.0
14,2025-02-14,1,85.0625,0.0
14,2025-02-14,2,2.1875,0.0
14,2025-02-14,3,41.875,0.625
14,2025-02-14,4,19.1875,1.125
14,2025-02-14,5,15.6875,0.0
14,2025-02-14,6,39.1875,0.0
14,2025-02-14,7,66.375,0.0625
14,2025-02-14,8,52.1875,2.5
14,2025-02-14,9,5.4375,0.0
14,2025-02-14,10,13.6875,0.0
14,2025-02-14,11,2.0625,0.0
14,2025-02-14,12,49.75,2.1875
14,2025-02-14,13,101.625,2.1875
14,2025-02-14,14,222.3125,8.625
14,2025-02-14,15,64.375,4.75
14,2025-02-14,16,3.5,0.0
14,2025-02-14,17,110.9375,4.75
14,2025-02-14,18,26.0625,0.125
14,2025-02-14,19,44.375,2.3125
14,2025-02-14,20,57.8125,2.5625
14,2025-02-14,21,39.0,3.0625
14,2025-02-14,22,79.3125,1.875
14,2025-02-14,23,130.4375,2.8125
14,2025-02-14,24,14.1875,0.3125
14,2025-02-14,25,2.75,0.0
14,2025-02-14,26,2.125,0.0
14,2025-02-14,27,3.75,0.0
14,2025-02-14,28,1.8125,0.0
14,2025-02-14,29,43.9375,1.375
14,2025-02-14,30,54.375,1.4375
14,2025-02-14,31,253.6875,18.875
14,2025-02-14,32,3.125,0.0
14,2025-02-14,33,4.125,0.0
14,2025-02-14,34,3.375,0.0
14,2025-02-14,35,65.375,1.1875
14,2025-02-14,36,14.0625,0.0
14,2025-02-14,37,167.75,7.1875
14,2025-02-14,38,15.625,0.0
14,2025-02-14,39,209.0,7.5
14,2025-02-14,40,4.0,0.0
14,2025-02-14,41,2.0625,0.0
14,2025-02-14,42,85.0,5.5625
14,2025-02-14,43,71.5625,4.625
14,2025-02-14,44,92.1875,2.75
14,2025-02-14,45,53.0,1.5625
14,2025-02-14,46,8.25,0.0
14,2025-02-14,47,2.4375,0.0
14,2025-02-14,48,14.875,0.0
15,2025-02-17,1,65.8125,2.8125
15,2025-02-17,2,2.5,0.0
15,2025-02-17,3,48.0625,1.25
15,2025-02-17,4,32.5625,1.5
15,2025-02-17,5,26.0625,0.0
15,2025-02-17,6,49.6875,0.0
15,2025-02-17,7,137.8125,5.8125
15,2025-02-17,8,42.125,1.3125
15,2025-02-17,9,46.5,2.0625
15,2025-02-17,10,85.375,0.0
15,2025-02-17,11,2.625,0.0
15,2025-02-17,12,17.0,0.3125
15,2025-02-17,13,206.1875,2.875
15,2025-02-17,14,136.875,1.625
15,2025-02-17,15,61.1875,2.75
15,2025-02-17,16,2.25,0.0
15,2025-02-17,17,2.5,0.0
15,2025-02-17,18,63.4375,2.6875
15,2025-02-17,19,72.6875,0.0
15,2025-02-17,20,80.75,3.9375
15,2025-02-17,21,324.75,13.6875
15,2025-02-17,22,138.5,8.25
15,2025-02-17,23,186.75,9.1875
15,2025-02-17,24,15.75,0.6875
15,2025-02-17,25,6.25,0.0
15,2025-02-17,26,30.4375,1.1875
15,2025-02-17,27,9.9375,0.3125
15,2025-02-17,28,2.875,0.0
15,2025-02-17,29,102.125,4.375
15,2025-02-17,30,99.75,3.5625
15,2025-02-17,31,28.75,1.8125
