well,electrode,n_measurements,spikes_n_nonzero,spikes_fraction_zero,spikes_total,spikes_mean,spikes_median,spikes_std,spikes_min,spikes_max
15,4,41,38,0.07317073170731707,15140.0,369.2682926829268,17.0,642.5048647438495,1.0,2150.0
15,5,41,39,0.04878048780487805,2688.0,65.5609756097561,3.0,149.16652586630954,1.0,584.0
15,6,41,35,0.14634146341463414,198.0,4.829268292682927,2.0,12.563642861496005,1.0,79.0
15,7,41,34,0.17073170731707318,6749.0,164.609756097561,3.0,439.49402032614626,1.0,2229.0
15,8,41,36,0.12195121951219512,109.0,2.658536585365854,3.0,1.9053838996060737,1.0,8.0
15,9,41,39,0.04878048780487805,238.0,5.804878048780488,2.0,19.427068116670515,1.0,126.0
15,10,41,33,0.1951219512195122,95.0,2.317073170731707,2.0,1.7239348072105845,1.0,6.0
15,11,41,32,0.21951219512195122,74.0,1.8048780487804879,2.0,1.5036540858043441,1.0,6.0
15,12,41,34,0.17073170731707318,238.0,5.804878048780488,2.0,21.13790376574167,1.0,137.0
15,13,41,34,0.17073170731707318,420.0,10.24390243902439,2.0,53.287794328441144,1.0,343.0
15,14,41,37,0.0975609756097561,442.0,10.78048780487805,2.0,46.49704947366121,1.0,297.0
15,15,41,38,0.07317073170731707,314.0,7.658536585365853,2.0,25.608211335524356,1.0,159.0
15,16,41,37,0.0975609756097561,1013.0,24.70731707317073,3.0,95.88097931874681,1.0,515.0
16,1,41,32,0.21951219512195122,372.0,9.073170731707316,2.0,35.980821449699036,1.0,230.0
16,2,41,35,0.14634146341463414,94.0,2.292682926829268,2.0,2.3478064489968546,1.0,14.0
16,3,41,37,0.0975609756097561,108.0,2.6341463414634148,2.0,2.6810081831372274,1.0,14.0
16,4,41,34,0.17073170731707318,75.0,1.829268292682927,2.0,1.4124878587865852,1.0,5.0
16,5,41,39,0.04878048780487805,161.0,3.926829268292683,2.0,7.688921393480489,1.0,46.0
16,6,41,39,0.04878048780487805,1855.0,45.24390243902439,3.0,125.03215196256618,1.0,558.0
16,7,41,34,0.17073170731707318,79.0,1.9268292682926829,2.0,1.5064900248995847,1.0,6.0
16,8,41,38,0.07317073170731707,89.0,2.1707317073170733,2.0,1.3398216117153479,1.0,6.0
16,9,41,39,0.04878048780487805,22124.0,539.609756097561,5.0,983.6782217282433,1.0,3872.0
16,10,41,36,0.12195121951219512,144.0,3.5121951219512195,2.0,7.943934639772384,1.0,52.0
16,11,41,34,0.17073170731707318,169.0,4.121951219512195,2.0,13.829669413892763,1.0,90.0
16,12,41,34,0.17073170731707318,84.0,2.048780487804878,2.0,1.759988913490581,1.0,7.0
16,13,41,37,0.0975609756097561,1141.0,27.829268292682926,3.0,84.36435931097455,1.0,501.0
