well,electrode,n_measurements,spikes_n_nonzero,spikes_fraction_zero,spikes_total,spikes_mean,spikes_median,spikes_std,spikes_min,spikes_max
6,8,6,6,0.0,8.0,1.3333333333333333,1.0,0.5163977794943223,1.0,2.0
6,9,6,6,0.0,11.0,1.8333333333333333,1.5,1.1690451944500122,1.0,4.0
6,10,6,6,0.0,13.0,2.1666666666666665,2.0,1.3291601358251257,1.0,4.0
6,11,6,6,0.0,16.0,2.6666666666666665,2.0,1.9663841605003503,1.0,5.0
6,12,6,5,0.16666666666666666,12.0,2.0,1.5,1.6733200530681511,1.0,4.0
6,13,6,3,0.5,4.0,0.6666666666666666,0.5,0.816496580927726,1.0,2.0
6,14,6,4,0.3333333333333333,9.0,1.5,2.0,1.224744871391589,2.0,3.0
6,15,6,4,0.3333333333333333,6.0,1.0,1.0,0.8944271909999159,1.0,2.0
6,16,6,5,0.16666666666666666,5.0,0.8333333333333334,1.0,0.408248290463863,1.0,1.0
7,1,6,5,0.16666666666666666,19.0,3.1666666666666665,2.0,3.6560452221856705,1.0,10.0
7,2,6,4,0.3333333333333333,7.0,1.1666666666666667,1.5,0.983192080250175,1.0,2.0
7,3,6,6,0.0,13.0,2.1666666666666665,1.5,1.602081978759722,1.0,5.0
7,4,6,5,0.16666666666666666,6.0,1.0,1.0,0.6324555320336759,1.0,2.0
7,5,6,5,0.16666666666666666,20.0,3.3333333333333335,2.0,4.033195589934446,1.0,11.0
7,6,6,5,0.16666666666666666,9.0,1.5,1.0,1.378404875209022,1.0,4.0
7,7,6,5,0.16666666666666666,11.0,1.8333333333333333,2.0,0.983192080250175,2.0,3.0
7,8,6,4,0.3333333333333333,24.0,4.0,1.5,6.957010852370434,1.0,18.0
7,9,6,5,0.16666666666666666,6.0,1.0,1.0,0.6324555320336759,1.0,2.0
7,10,6,5,0.16666666666666666,12.0,2.0,2.0,1.6733200530681511,1.0,5.0
7,11,6,6,0.0,10.0,1.6666666666666667,1.0,1.2110601416389966,1.0,4.0
7,12,6,6,0.0,122.0,20.333333333333332,10.0,29.40521495698793,3.0,80.0
7,13,6,5,0.16666666666666666,7.0,1.1666666666666667,1.0,0.752772652709081,1.0,2.0
7,14,6,5,0.16666666666666666,8.0,1.3333333333333333,1.0,1.0327955589886446,1.0,3.0
7,15,6,6,0.0,260.0,43.333333333333336,30.0,31.99166558131456,16.0,90.0
7,16,6,5,0.16666666666666666,8.0,1.3333333333333333,1.0,1.0327955589886444,1.0,3.0
8,1,6,6,0.0,21.0,3.5,2.0,3.0166206257996713,1.0,9.0
8,2,6,4,0.3333333333333333,5.0,0.8333333333333334,1.0,0.752772652709081,1.0,2.0
8,3,6,6,0.0,25.0,4.166666666666667,3.0,3.868677637987775,1.0,11.0
8,4,6,2,0.6666666666666666,2.0,0.3333333333333333,0.0,0.5163977794943223,1.0,1.0
8,5,6,3,0.5,9.0,1.5,1.0,1.9748417658131499,2.0,5.0
8,6,6,6,0.0,11.0,1.8333333333333333,1.5,0.9831920802501751,1.0,3.0
8,7,6,5,0.16666666666666666,8.0,1.3333333333333333,1.0,1.0327955589886446,1.0,3.0
8,8,6,6,0.0,15.0,2.5,2.0,1.378404875209022,1.0,5.0
8,9,6,6,0.0,9.0,1.5,1.0,0.8366600265340756,1.0,3.0
8,10,6,4,0.3333333333333333,12.0,2.0,1.5,2.6076809620810595,1.0,7.0
8,11,6,3,0.5,5.0,0.8333333333333334,0.5,0.983192080250175,1.0,2.0
8,12,6,6,0.0,24.0,4.0,1.0,6.418722614352485,1.0,17.0
8,13,6,5,0.16666666666666666,8.0,1.3333333333333333,1.0,1.0327955589886444,1.0,3.0
8,14,6,4,0.3333333333333333,8.0,1.3333333333333333,1.5,1.2110601416389968,1.0,3.0
8,15,6,4,0.3333333333333333,7.0,1.1666666666666667,1.0,1.1690451944500122,1.0,3.0
8,16,6,5,0.16666666666666666,9.0,1.5,1.0,1.378404875209022,1.0,4.0
9,1,6,4,0.3333333333333333,9.0,1.5,1.0,1.6431676725154984,1.0,4.0
9,2,6,5,0.16666666666666666,8.0,1.3333333333333333,1.0,1.0327955589886444,1.0,3.0
9,3,6,3,0.5,8.0,1.3333333333333333,0.5,1.7511900715418265,1.0,4.0
9,4,6,6,0.0,32.0,5.333333333333333,6.0,2.503331114069145,1.0,8.0
9,5,6,3,0.5,6.0,1.0,0.5,1.5491933384829668,1.0,4.0
9,6,6,5,0.16666666666666666,9.0,1.5,2.0,0.8366600265340756,1.0,2.0
9,7,6,6,0.0,44.0,7.333333333333333,2.0,9.41629792788369,1.0,23.0
9,8,6,5,0.16666666666666666,7.0,1.1666666666666667,1.0,0.983192080250175,1.0,3.0
9,9,6,5,0.16666666666666666,7.0,1.1666666666666667,1.0,0.752772652709081,1.0,2.0
9,10,6,6,0.0,13.0,2.1666666666666665,2.0,1.1690451944500122,1.0,4.0
9,11,6,4,0.3333333333333333,8.0,1.3333333333333333,1.5,1.2110601416389968,1.0,3.0
